人见人爱花见花开的肉包包包包包,2017年9月26日
帐号已注销,2018年2月20日
帐号已注销,2018年3月6日
实名举报你可爱过度,2018年3月6日
Themissingmaster,2018年3月27日
沈望山,2018年3月6日
lilfishonline,2018年4月18日
公子鲸,2018年3月13日
i听俄语歌,2019年1月1日
小月半biubiu,2018年3月13日
道玥,2018年3月20日
不饭你爱豆,2018年6月5日
Apa-,2018年4月3日
南方的雨和鱼,2018年4月3日
地壳游记,2018年7月3日
人见人爱花见花开的肉包包包包包,昨天12:17
账号注销是不可能注销的,昨天11:06
瓜小绿,昨天10:56
瓜小绿,昨天10:56
今天又是爆肝的一天呢,1月15日 21:06
信仰的超炮,1月15日 17:26
Lost-frequencies,1月15日 14:52
Blue__Blues,1月15日 14:35
妖七的春天,1月15日 14:32
Lost-frequencies,1月15日 14:26
我管你是谁的谁,1月15日 14:08
睡觉不好吗Zzzz,1月15日 11:53
猫的圆眼镜,1月15日 10:52
个性的卓儿,1月15日 08:48
carlvinking,1月15日 08:28
继续找寻L,1月15日 07:43
被世界遗忘的人YSnb,1月15日 07:39
东学寒梅,1月15日 07:34
小翟4582,1月15日 07:22
七彩猫咪,1月15日 07:14
七彩猫咪,1月15日 07:12
FAQIT,1月15日 07:06
妖七的春天,1月15日 07:04
御史firework,1月15日 06:52
哇仔小a萌,1月15日 06:18
争斤论两花花冒,1月15日 03:08
表白成功-ing,1月15日 01:42
规律法官,1月15日 01:41
感情最狗180715,1月15日 00:51
MD_快乐无忧f,1月15日 00:44
MD_快乐无忧f,1月15日 00:44
爱宁de,1月15日 00:43
ZZ2NN,1月15日 00:39
KiritoXY2,1月15日 00:12
KiritoXY2,1月15日 00:09
___________XahZaT_007_,1月14日 23:57
让他溜走,1月14日 23:55
让他溜走,1月14日 23:54
Connie-思思,1月14日 23:54
Connie-思思,1月14日 23:52
昵称什么的以后再说,1月14日 23:47
季节190603,1月14日 23:29
84759475,1月14日 23:07
求求你别再吃了啊啊啊,1月14日 22:57
旋涡鬼,1月14日 22:52
hdmisne,1月14日 22:46
最宝贝1911,1月14日 22:38
上善若水Joy688,1月14日 22:31
Missing-er,1月14日 22:28
於欣诗,1月14日 22:24
Lost-frequencies,1月14日 22:05
Lost-frequencies,1月14日 22:04
亥月二十,1月14日 22:03
啊冷太难辽丶,1月14日 21:59
disable伊文,1月14日 21:56
小熊三贱客52,1月14日 21:54
徐徐桂回,1月14日 21:48
如何尽欢,1月14日 21:40
淼音1,1月14日 21:38
凌云御茶,1月14日 21:34
人见人爱花见花开的肉包包包包包：一个可以操纵榜单的单主，大家要记住它,2017年9月26日
帐号已注销：一亿！很强的歌单,2018年2月20日
帐号已注销：网易云每周二都会推这个华语速爆歌单，删掉旧歌，换成新歌，有过亿播放量，是正常的现象，迟早会破十亿。,2018年3月6日
实名举报你可爱过度：我……第一次看到以亿为单位的收听量……忍不住点进来听一听～,2018年3月6日
Themissingmaster：网易云：定个小目标，先播它一个亿,2018年3月27日
