上海,易宝软件科技（南京）有限公司,150-500人,大专,Python,15k-20k,3-5年
北京,北京华为数字技术有限公司,2000人以上,本科,python,15k-30k,3-5年
北京,深圳市拓保软件有限公司,500-2000人,本科,python开发,8k-15k,1-3年
深圳,深圳市汇合发展有限公司,2000人以上,本科,python开发,14k-25k,3-5年
北京,北京博乐科技有限公司,150-500人,本科,python开发,15k-30k,不限
北京,掌阅科技股份有限公司,500-2000人,本科,python,25k-45k,5-10年
上海,叽里呱啦文化传播（上海）有限公司,150-500人,本科,python开发工程师,15k-30k,1-3年
深圳,风变科技（深圳）有限公司,500-2000人,本科,python后端组长,15k-20k,3-5年
上海,叽里呱啦文化传播（上海）有限公司,150-500人,本科,高级Python开发工程师,20k-35k,3-5年
上海,上海沸橙信息科技有限公司,150-500人,本科,python,10k-12k,1-3年
上海,上海沸橙信息科技有限公司,150-500人,本科,python,8k-11k,不限
深圳,风变科技（深圳）有限公司,500-2000人,大专,Python课程运营顾问,6k-12k,不限
北京,北京数美时代科技有限公司,150-500人,本科,python,10k-20k,应届毕业生
杭州,嘉兴构美信息技术有限公司,150-500人,本科,python后端,12k-20k,3-5年
杭州,浙江天垂科技有限公司,15-50人,本科,python后端工程师,15k-30k,不限
北京,生仝智能科技（北京）有限公司,15-50人,硕士,python工程师,14k-28k,不限
深圳,心灵失重（北京）科技有限公司,150-500人,本科,Python,15k-30k,3-5年
上海,圆通速递有限公司,2000人以上,本科,python,15k-25k,3-5年
深圳,深圳链条科技有限公司,15-50人,本科,Python后端,7k-12k,1-3年
深圳,深圳市拉科菲希科技有限公司,150-500人,本科,高级python工程师,25k-40k,3-5年
西安,西安华讯科技有限责任公司,150-500人,本科,python,6k-12k,1-3年
北京,北京金堤科技有限公司,150-500人,本科,Python开发工程师,15k-25k,3-5年
成都,成都链安科技有限公司,50-150人,本科,Python全栈开发工程师,10k-20k,3-5年
深圳,风变科技（深圳）有限公司,500-2000人,本科,python后端开发工程师,12k-20k,1-3年
深圳,爱客科技（深圳）有限公司,50-150人,本科,Python 工程师,12k-23k,1-3年
北京,大唐金控集团有限公司,500-2000人,不限,python,6k-12k,应届毕业生
深圳,北京传智播客教育科技有限公司,500-2000人,本科,python人工智能讲师,30k-50k,3-5年
上海,光之树（北京）科技有限公司,15-50人,不限,Python,20k-40k,3-5年
北京,艾普拉斯投资顾问（北京）有限公司,150-500人,本科,Python⼯程师-机器人,15k-30k,1-3年
北京,北京生生科技有限公司,150-500人,不限,python,13k-25k,1-3年
成都,成都青觉科技有限公司,少于15人,本科,Python工程师,9k-15k,1-3年
深圳,爱客科技（深圳）有限公司,50-150人,本科,高级 Python 工程师,25k-35k,3-5年
北京,四川伊澳农业科技有限公司,2000人以上,本科,后台开发（C++/go/PHP/python）,30k-50k,3-5年
杭州,嘉兴构美信息技术有限公司,150-500人,本科,python web开发主管,20k-35k,5-10年
杭州,嘉兴构美信息技术有限公司,150-500人,不限,资深python web后端开发,20k-30k,5-10年
成都,成都网信天成科技有限公司,50-150人,本科,python,8k-12k,1-3年
广州,广州易幻网络科技有限公司,150-500人,本科,Python 开发工程师（2020届校招）,8k-12k,应届毕业生
深圳,深圳战吼网络科技有限公司,15-50人,本科,【实习】游戏后台 C#/Python 开发,3k-4k,应届毕业生
深圳,深圳云安宝科技有限公司,15-50人,本科,python,15k-30k,3-5年
深圳,深圳市启晟互联网科技有限公司,150-500人,硕士,python培训讲师,4k-8k,5-10年
北京,北京乐信圣文科技有限责任公司,150-500人,本科,Python工程师,15k-25k,1-3年
上海,上海卿钊互联网科技有限公司,少于15人,不限,python,1k-2k,3-5年
北京,天津英才酷信息科技有限公司,500-2000人,本科,python,7k-13k,1-3年
上海,上海基分文化传播有限公司,500-2000人,本科,Python开发（音视频方向）,20k-35k,3-5年
武汉,武汉乐谷在线科技有限公司,50-150人,大专,Python,5k-10k,1-3年
杭州,杭州所罗门信息科技有限公司,少于15人,本科,python开发,9k-12k,不限
北京,北京凌云雀科技有限公司,150-500人,本科,Python,13k-25k,不限
杭州,武汉佰钧成技术有限责任公司,2000人以上,本科,高级python开发,13k-18k,不限
成都,成都迈思创智科技有限公司,50-150人,本科,python,8k-10k,3-5年
北京,南通东华软件有限公司,150-500人,本科,python开发,11k-17k,3-5年
深圳,江西牛客科技有限责任公司,少于15人,本科,python开发,13k-23k,3-5年
杭州,浙江优创信息技术有限公司,150-500人,本科,python,25k-26k,3-5年
北京,京东数字科技控股有限公司,2000人以上,本科,python架构师,30k-60k,5-10年
武汉,武汉小果科技有限公司,50-150人,本科,python后端,9k-15k,1-3年
北京,在线途游（北京）科技有限公司,150-500人,本科,python开发工程师,10k-15k,1-3年
广州,广州瑞云网络科技有限公司,50-150人,本科,Python工程师,10k-20k,3-5年
北京,泰康养老保险股份有限公司北京分公司,2000人以上,本科,python开发,12k-17k,3-5年
西安,江苏润和软件股份有限公司,2000人以上,本科,python,9k-15k,3-5年
深圳,深圳市道通科技股份有限公司,500-2000人,本科,python,15k-25k,3-5年
北京,北京中科国际软件有限公司,50-150人,本科,python后端,10k-18k,3-5年
深圳,深圳市点购电子商务控股股份有限公司广州分公司,500-2000人,大专,python开发,11k-18k,3-5年
深圳,深圳小步网络科技有限公司,150-500人,本科,Python后台开发工程师,15k-30k,3-5年
北京,北京华为数字技术有限公司,2000人以上,本科,Python开发工程师-华为OD,15k-30k,不限
广州,广州美亚电子商务国际旅行社有限公司,150-500人,大专,Python开发工程师,6k-12k,1-3年
北京,掌阅科技股份有限公司,500-2000人,本科,服务研发工程师（python）,20k-30k,3-5年
深圳,深圳市微课科技有限公司,150-500人,本科,Python后端开发工程师,15k-20k,3-5年
上海,上海心莲信息科技有限公司,15-50人,本科,python开发,18k-35k,5-10年
北京,北京字节跳动科技有限公司,2000人以上,本科,Python后端高级开发工程师-抖音/火山,20k-40k,1-3年
北京,北京字节跳动科技有限公司,2000人以上,本科,Python开发工程师-变现业务,25k-40k,1-3年
广州,广州太平洋电脑信息咨询有限公司,500-2000人,本科,Python开发工程师,15k-25k,3-5年
济南,市北区博洋灵邦企业营销策划工作室,15-50人,本科,python,8k-15k,3-5年
上海,上海寰享网络科技有限公司,15-50人,大专,Python中级/Odoo开发,10k-15k,1-3年
福州,上海虎赞信息科技有限公司,150-500人,大专,python开发,15k-25k,3-5年
北京,北京慧达天下科技有限公司,50-150人,本科,Python/Django/后端开发,15k-25k,不限
深圳,岩心科技（深圳）有限公司,500-2000人,本科,python后台开发(J10535),15k-30k,3-5年
深圳,深圳市天宇鸿通网络科技有限公司,50-150人,大专,资深python全栈开发,30k-60k,不限
深圳,成都必然科技有限公司,少于15人,本科,python爬虫,8k-16k,3-5年
杭州,杭州明象科技有限公司,15-50人,本科,python开发工程师,7k-14k,1-3年
上海,上海心莲信息科技有限公司,15-50人,本科,Python后端开发,17k-30k,3-5年
上海,上海万向区块链股份公司,150-500人,不限,Python架构师,20k-30k,5-10年
北京,北京字节跳动科技有限公司,2000人以上,本科,高级python工程师,30k-60k,3-5年
武汉,武汉小果科技有限公司,50-150人,本科,Android研发(往python后端培养),8k-14k,不限
武汉,武汉小果科技有限公司,50-150人,本科,Python开发工程师,9k-15k,1-3年
北京,北京缔联科技有限公司,50-150人,本科,python开发,15k-30k,3-5年
北京,北京奥鹏远程教育中心有限公司,50-150人,大专,Python讲师,10k-20k,1-3年
杭州,杭州涂鸦信息技术有限公司,500-2000人,本科,Python开发工程师,20k-30k,3-5年
上海,特赞（上海）信息科技有限公司,150-500人,本科,Python爬虫实习生,2k-3k,不限
杭州,武汉佰钧成技术有限责任公司,2000人以上,大专,python,15k-25k,3-5年
武汉,武汉市星商电子商务有限公司,500-2000人,本科,python开发工程师,8k-15k,3-5年
上海,上海西井信息科技有限公司,50-150人,本科,python后端(中级）,9k-14k,3-5年
北京,北京捷通华声科技股份有限公司,150-500人,本科,软件测试工程师（C++、java、python）,15k-25k,1-3年
北京,爱笔（北京）智能科技有限公司,150-500人,本科,Python开发工程师,20k-40k,3-5年
北京,上海倾听信息技术有限公司,150-500人,本科,Python 后端开发（北京）,18k-36k,1-3年
北京,北京香侬慧语科技有限责任公司,50-150人,本科,python开发工程师,20k-40k,3-5年
深圳,深圳佑驾创新科技有限公司,150-500人,本科,python工程师,15k-30k,1-3年
